id,cryptocurrency_id,date,price_usd,market_cap,volume,change,id_crypto,name
151,5,2025-03-18T12:22:00,0.999842,58870800000.0,7920080000.0,0.00520169,5,usd-coin
152,6,2025-03-18T12:22:00,2.27,131950000000.0,2992750000.0,-2.91818,6,ripple
153,1,2025-03-19T12:32:18,83759.0,1662890000000.0,21936100000.0,1.28877,1,bitcoin
154,2,2025-03-19T12:32:18,2014.65,243187000000.0,11133600000.0,6.43227,2,ethereum
155,3,2025-03-19T12:32:19,0.999828,143415000000.0,40292700000.0,-0.00482756,3,tether
156,4,2025-03-19T12:32:19,618.09,90241600000.0,1100730000.0,-2.32954,4,binancecoin
157,5,2025-03-19T12:32:20,0.999703,58802100000.0,4958440000.0,-0.0138202,5,usd-coin
158,1,2025-03-20T12:01:33,85169.0,1689980000000.0,36698700000.0,2.12395,1,bitcoin
159,2,2025-03-20T12:01:34,1983.17,239260000000.0,19149000000.0,0.234526,2,ethereum
160,3,2025-03-20T12:01:34,0.999621,143599000000.0,50627800000.0,-0.0267603,3,tether
161,4,2025-03-20T12:01:35,633.41,92378300000.0,1567980000.0,2.80415,4,binancecoin
162,5,2025-03-20T12:01:35,0.999898,59238700000.0,8325490000.0,0.00118295,5,usd-coin
163,1,2025-03-21T12:03:39,84055.0,1669220000000.0,24281400000.0,-1.36962,1,bitcoin
164,2,2025-03-21T12:03:39,1965.2,237358000000.0,10300400000.0,-0.933025,2,ethereum
165,3,2025-03-21T12:03:39,0.999544,143462000000.0,23680000000.0,-0.0076353,3,tether
166,4,2025-03-21T12:03:40,634.59,92677400000.0,1247290000.0,0.118197,4,binancecoin
167,5,2025-03-21T12:03:40,0.9998,59311800000.0,6064120000.0,-0.00976603,5,usd-coin
168,1,2025-03-24T12:11:19,87689.0,1740880000000.0,22585200000.0,3.53302,1,bitcoin
169,2,2025-03-24T12:11:19,2093.2,252648000000.0,11612800000.0,3.82912,2,ethereum
170,3,2025-03-24T12:11:19,1.0,143496000000.0,24013800000.0,0.0291934,3,tether
171,4,2025-03-24T12:11:20,630.35,91998900000.0,723666000.0,1.30224,4,binancecoin
172,5,2025-03-24T12:11:20,0.999887,59491100000.0,4346180000.0,0.00359373,5,usd-coin
173,1,2025-03-25T12:42:45,87333.0,1735690000000.0,31313700000.0,-0.406982,1,bitcoin
174,2,2025-03-25T12:42:45,2071.64,249691000000.0,12431700000.0,-0.995835,2,ethereum
175,3,2025-03-25T12:42:45,1.0,143784000000.0,26643000000.0,-0.0023095,3,tether
176,4,2025-03-25T12:42:46,633.77,92377900000.0,1454750000.0,0.548208,4,binancecoin
177,5,2025-03-25T12:42:46,0.999802,59782100000.0,5984730000.0,-0.00756779,5,usd-coin
178,1,2025-03-26T12:01:31,88239.0,1750830000000.0,26869800000.0,1.19027,1,bitcoin
179,2,2025-03-26T12:01:31,2074.17,250243000000.0,11636600000.0,0.134713,2,ethereum
180,3,2025-03-26T12:01:32,1.0,144040000000.0,30195800000.0,0.0103676,3,tether
181,4,2025-03-26T12:01:32,631.75,92166500000.0,1072550000.0,-0.936898,4,binancecoin
182,5,2025-03-26T12:01:32,0.999889,60209600000.0,8553830000.0,0.000318072,5,usd-coin
183,1,2025-03-27T12:11:26,87325.0,1733140000000.0,22690600000.0,-1.065,1,bitcoin
184,2,2025-03-27T12:11:26,2029.49,244835000000.0,13364400000.0,-2.14026,2,ethereum
185,3,2025-03-27T12:11:27,1.0,144188000000.0,24007200000.0,-0.00367934,3,tether
186,4,2025-03-27T12:11:27,636.46,92799100000.0,1402200000.0,0.594366,4,binancecoin
187,5,2025-03-27T12:11:27,0.999864,60136500000.0,8635870000.0,-0.00302276,5,usd-coin
188,1,2025-03-28T12:03:47,84936.0,1684040000000.0,29425300000.0,-2.73246,1,bitcoin
189,2,2025-03-28T12:03:47,1908.3,230060000000.0,17091400000.0,-5.91597,2,ethereum
190,3,2025-03-28T12:03:47,0.999694,144138000000.0,55260500000.0,-0.0432397,3,tether
191,4,2025-03-28T12:03:48,628.44,91603400000.0,1690890000.0,-1.16281,4,binancecoin
192,5,2025-03-28T12:03:48,0.999793,60323200000.0,6557620000.0,-0.007241,5,usd-coin
193,1,2025-03-31T12:01:34,81489.0,1614930000000.0,20566500000.0,-2.33895,1,bitcoin
194,2,2025-03-31T12:01:35,1786.15,215217000000.0,13975400000.0,-3.09404,2,ethereum
195,3,2025-03-31T12:01:35,0.999826,143912000000.0,37761900000.0,0.0102443,3,tether
196,4,2025-03-31T12:01:35,589.27,85876100000.0,781025000.0,-3.07525,4,binancecoin
197,5,2025-03-31T12:01:36,0.999879,60060800000.0,8606350000.0,-0.0074579,5,usd-coin
198,1,2025-04-01T12:21:36,84489.0,1673270000000.0,28590600000.0,3.43247,1,bitcoin
199,2,2025-04-01T12:21:36,1884.87,227428000000.0,16227600000.0,5.42278,2,ethereum
200,3,2025-04-01T12:21:37,0.999945,143985000000.0,27330000000.0,0.0123375,3,tether
201,4,2025-04-01T12:21:37,616.24,89787200000.0,916597000.0,4.34478,4,binancecoin
202,5,2025-04-01T12:21:37,0.999963,60100200000.0,10666300000.0,0.00305241,5,usd-coin
203,1,2025-04-02T12:01:44,85029.0,1686580000000.0,25505900000.0,0.780268,1,bitcoin
204,2,2025-04-02T12:01:45,1878.86,226597000000.0,15233200000.0,-0.212214,2,ethereum
205,3,2025-04-02T12:01:45,0.999984,144031000000.0,48161400000.0,0.0142891,3,tether
206,4,2025-04-02T12:01:45,602.52,87863000000.0,1697680000.0,-2.22309,4,binancecoin
207,5,2025-04-02T12:01:46,0.999939,60102500000.0,10352700000.0,-0.00447179,5,usd-coin
208,1,2025-04-03T12:00:50,83450.0,1658370000000.0,56229100000.0,-1.8491,1,bitcoin
209,2,2025-04-03T12:00:51,1811.55,218916000000.0,25146600000.0,-3.58247,2,ethereum
210,3,2025-04-03T12:00:51,0.999923,144024000000.0,87562200000.0,-0.00585849,3,tether
211,4,2025-04-03T12:00:51,598.5,87443300000.0,1864900000.0,-0.671703,4,binancecoin
212,5,2025-04-03T12:00:51,0.999948,60640200000.0,14257500000.0,0.00203614,5,usd-coin
213,1,2025-04-04T12:01:35,84610.0,1680320000000.0,37366000000.0,1.35442,1,bitcoin
214,2,2025-04-04T12:01:36,1831.16,221110000000.0,16744600000.0,1.06048,2,ethereum
215,3,2025-04-04T12:01:36,0.999885,144071000000.0,59231900000.0,-0.00333606,3,tether
216,4,2025-04-04T12:01:36,598.69,87394900000.0,785795000.0,0.0125812,4,binancecoin
217,5,2025-04-04T12:01:36,0.999958,60946300000.0,13217600000.0,0.000787719,5,usd-coin
218,1,2025-04-07T12:11:06,76492.0,1520850000000.0,59830400000.0,-7.68281,1,bitcoin
219,2,2025-04-07T12:11:06,1493.13,180331000000.0,39187900000.0,-16.5075,2,ethereum
220,3,2025-04-07T12:11:07,0.999363,144172000000.0,74358700000.0,-0.0122514,3,tether
221,4,2025-04-07T12:11:07,541.47,79040600000.0,1525330000.0,-7.9541,4,binancecoin
222,5,2025-04-07T12:11:08,0.999949,60284400000.0,21973200000.0,0.00701413,5,usd-coin
223,1,2025-04-08T12:47:17,79050.0,1569610000000.0,68830400000.0,2.50446,1,bitcoin
224,2,2025-04-08T12:47:17,1569.3,189500000000.0,32539300000.0,4.76938,2,ethereum
225,3,2025-04-08T12:47:18,0.999707,144150000000.0,62993100000.0,0.0318943,3,tether
226,4,2025-04-08T12:47:18,557.92,81444700000.0,1492080000.0,2.63762,4,binancecoin
227,5,2025-04-08T12:47:19,0.999942,60021400000.0,20261300000.0,-0.00548157,5,usd-coin
228,1,2025-04-09T12:16:54,77412.0,1536120000000.0,58037000000.0,-1.92384,1,bitcoin
229,2,2025-04-09T12:16:55,1478.64,178389000000.0,29589700000.0,-5.69028,2,ethereum
230,3,2025-04-09T12:16:55,0.99955,143950000000.0,84331500000.0,-0.015299,3,tether
231,4,2025-04-09T12:16:55,558.48,81468600000.0,1060630000.0,0.211174,4,binancecoin
232,5,2025-04-09T12:16:55,0.999936,60141300000.0,18646500000.0,-0.00642895,5,usd-coin
233,1,2025-04-10T12:00:57,81928.0,1626120000000.0,73549200000.0,5.82026,1,bitcoin
234,2,2025-04-10T12:00:57,1601.01,193148000000.0,35051800000.0,8.2313,2,ethereum
235,3,2025-04-10T12:00:58,0.999684,144325000000.0,103648000000.0,0.0119497,3,tether
236,4,2025-04-10T12:00:58,578.4,84381600000.0,1088850000.0,3.55131,4,binancecoin
237,5,2025-04-10T12:00:58,0.999894,59932500000.0,15804800000.0,-0.00113963,5,usd-coin
238,1,2025-04-11T12:40:27,82762.0,1642470000000.0,43226000000.0,1.20902,1,bitcoin
239,2,2025-04-11T12:40:27,1572.74,189688000000.0,20837900000.0,-1.43187,2,ethereum
240,3,2025-04-11T12:40:27,0.999463,144268000000.0,70781400000.0,0.00729986,3,tether
241,4,2025-04-11T12:40:28,583.51,85103100000.0,911796000.0,0.976939,4,binancecoin
242,5,2025-04-11T12:40:28,0.999959,59970600000.0,12722000000.0,0.000266901,5,usd-coin
243,1,2025-04-14T12:36:18,84627.0,1679510000000.0,30497900000.0,0.000662627,1,bitcoin
244,2,2025-04-14T12:36:19,1664.41,200682000000.0,15039200000.0,2.97254,2,ethereum
245,3,2025-04-14T12:36:19,0.999806,144317000000.0,53101400000.0,0.00309393,3,tether
246,4,2025-04-14T12:36:19,590.65,86138100000.0,559952000.0,-0.0354113,4,binancecoin
247,5,2025-04-14T12:36:20,0.999937,60128400000.0,10385400000.0,-0.00628622,5,usd-coin
248,1,2025-04-15T12:41:22,85616.0,1699670000000.0,28550100000.0,1.21567,1,bitcoin
249,2,2025-04-15T12:41:22,1630.81,197319000000.0,10343600000.0,-2.14515,2,ethereum
250,3,2025-04-15T12:41:22,0.999958,144335000000.0,46832200000.0,0.0162634,3,tether
251,4,2025-04-15T12:41:23,588.18,85857600000.0,510091000.0,-0.416931,4,binancecoin
252,5,2025-04-15T12:41:23,0.999984,60204800000.0,9027350000.0,0.0033546,5,usd-coin
253,1,2025-04-16T12:11:08,83678.0,1661270000000.0,26090700000.0,-2.52533,1,bitcoin
254,2,2025-04-16T12:11:09,1571.67,189656000000.0,11990800000.0,-4.51065,2,ethereum
255,3,2025-04-16T12:11:09,0.999973,144628000000.0,36039800000.0,0.00657639,3,tether
256,4,2025-04-16T12:11:09,577.85,84325200000.0,529423000.0,-2.07056,4,binancecoin
257,5,2025-04-16T12:11:09,0.999989,60385700000.0,8073190000.0,0.00362729,5,usd-coin
258,1,2025-04-21T12:01:40,87486.0,1736670000000.0,24787600000.0,3.49557,1,bitcoin
259,2,2025-04-21T12:01:40,1642.59,198265000000.0,10694100000.0,3.23993,2,ethereum
260,3,2025-04-21T12:01:41,1.0,144630000000.0,19440700000.0,0.00551037,3,tether
261,4,2025-04-21T12:01:41,604.27,88154900000.0,503959000.0,2.00628,4,binancecoin
262,5,2025-04-21T12:01:41,0.999954,60883200000.0,6899610000.0,-0.00297947,5,usd-coin
263,1,2025-04-22T12:01:26,88509.0,1757410000000.0,36036500000.0,1.16262,1,bitcoin
264,2,2025-04-22T12:01:26,1625.19,196195000000.0,15778400000.0,-1.0541,2,ethereum
265,3,2025-04-22T12:01:26,0.999994,144724000000.0,51329100000.0,-0.00263083,3,tether
266,4,2025-04-22T12:01:26,605.2,88305100000.0,614067000.0,0.149993,4,binancecoin
267,5,2025-04-22T12:01:26,0.999981,60885500000.0,10523100000.0,0.00261253,5,usd-coin
268,1,2025-04-23T12:06:04,93846.0,1864760000000.0,58976600000.0,6.00732,1,bitcoin
269,2,2025-04-23T12:06:04,1788.25,215920000000.0,27470300000.0,10.0412,2,ethereum
270,3,2025-04-23T12:06:05,1.0,145310000000.0,48298100000.0,0.0229391,3,tether
271,4,2025-04-23T12:06:05,612.04,89308700000.0,1090190000.0,1.06715,4,binancecoin
272,5,2025-04-23T12:06:05,0.999968,61743400000.0,16848500000.0,-0.00144905,5,usd-coin
273,1,2025-04-24T12:03:28,92441.0,1835230000000.0,37591800000.0,-1.49623,1,bitcoin
274,2,2025-04-24T12:03:28,1743.03,210411000000.0,18439600000.0,-2.49898,2,ethereum
275,3,2025-04-24T12:03:29,1.0,145663000000.0,42466600000.0,-0.011778,3,tether
276,4,2025-04-24T12:03:29,597.0,87082500000.0,970777000.0,-2.47846,4,binancecoin
277,5,2025-04-24T12:03:30,0.999969,61754400000.0,13827800000.0,-0.000498972,5,usd-coin
278,1,2025-04-25T12:27:05,93754.0,1861920000000.0,30045900000.0,1.28494,1,bitcoin
279,2,2025-04-25T12:27:05,1784.39,215468000000.0,13169400000.0,2.20928,2,ethereum
280,3,2025-04-25T12:27:06,1.0,146048000000.0,33981300000.0,0.0136668,3,tether
281,4,2025-04-25T12:27:06,607.4,88645100000.0,824244000.0,1.77899,4,binancecoin
282,5,2025-04-25T12:27:07,0.999952,62188400000.0,11697500000.0,-0.00452422,5,usd-coin
