id,cryptocurrency_id,date,price_usd,cryptocurrency_name,market_cap,volume,change
198,1,2025-04-01 12:21:36,84489.0,bitcoin,1673267910782.854,28590556831.979084,3.43247252925099
199,2,2025-04-01 12:21:36,1884.87,ethereum,227428003149.4348,16227606674.812893,5.422775687470771
200,3,2025-04-01 12:21:37,0.999945,tether,143984834827.69952,27329990363.563656,0.012337504022062996
201,4,2025-04-01 12:21:37,616.24,binancecoin,89787246893.72856,916596904.931346,4.344780648340698
202,9,2025-04-01 12:21:37,0.999963,usd-coin,60100176328.542564,10666252474.374542,0.003052413623638094
203,1,2025-04-02 12:01:44,85029.0,bitcoin,1686580305631.5051,25505860085.52312,0.7802684674176268
204,2,2025-04-02 12:01:45,1878.86,ethereum,226596653759.26715,15233187383.431316,-0.21221380460293573
205,3,2025-04-02 12:01:45,0.999984,tether,144030588910.34692,48161436176.98765,0.014289134221923754
206,4,2025-04-02 12:01:45,602.52,binancecoin,87863045828.12164,1697681882.8769367,-2.2230925150125023
207,9,2025-04-02 12:01:46,0.999939,usd-coin,60102450111.025505,10352686971.41063,-0.004471787575417472
208,1,2025-04-03 12:00:50,83450.0,bitcoin,1658371203472.29,56229059417.432205,-1.8490983492519404
209,2,2025-04-03 12:00:51,1811.55,ethereum,218916065756.5948,25146583888.796463,-3.582471441762791
210,3,2025-04-03 12:00:51,0.999923,tether,144023838733.7602,87562171100.85185,-0.005858485476881485
211,4,2025-04-03 12:00:51,598.5,binancecoin,87443308406.60175,1864902496.7868683,-0.6717033733475081
212,9,2025-04-03 12:00:51,0.999948,usd-coin,60640236488.798416,14257457747.858923,0.0020361443013622335
213,1,2025-04-04 12:01:35,84610.0,bitcoin,1680321724115.9402,37366019872.32306,1.3544158093729495
214,2,2025-04-04 12:01:36,1831.16,ethereum,221110408435.9016,16744584731.289991,1.0604806413032142
215,3,2025-04-04 12:01:36,0.999885,tether,144070866091.29398,59231892449.49597,-0.003336060413440695
216,4,2025-04-04 12:01:36,598.69,binancecoin,87394937361.16124,785795171.9781505,0.012581192159896568
217,9,2025-04-04 12:01:36,0.999958,usd-coin,60946341985.76534,13217577504.883099,0.0007877194614976681
218,1,2025-04-07 12:11:06,76492.0,bitcoin,1520854747330.2268,59830364955.781906,-7.682809664027798
219,2,2025-04-07 12:11:06,1493.13,ethereum,180331232209.74725,39187888131.50325,-16.507506789694066
220,3,2025-04-07 12:11:07,0.999363,tether,144171999510.41254,74358660393.1485,-0.012251412207729299
221,4,2025-04-07 12:11:07,541.47,binancecoin,79040586508.4252,1525326140.4405663,-7.954096683080519
222,9,2025-04-07 12:11:08,0.999949,usd-coin,60284398558.5506,21973195724.417522,0.007014125860854154
223,1,2025-04-08 12:47:17,79050.0,bitcoin,1569613754973.0662,68830418960.92857,2.504459142871595
224,2,2025-04-08 12:47:17,1569.3,ethereum,189500257930.5516,32539328688.98837,4.769384777976575
225,3,2025-04-08 12:47:18,0.999707,tether,144149920980.25677,62993119583.79984,0.031894335443939326
226,4,2025-04-08 12:47:18,557.92,binancecoin,81444714698.48569,1492084536.993581,2.6376207402566973
227,9,2025-04-08 12:47:19,0.999942,usd-coin,60021439633.02823,20261274504.76106,-0.005481566617663088
228,1,2025-04-09 12:16:54,77412.0,bitcoin,1536121247479.0403,58036968742.474144,-1.923838984814966
229,2,2025-04-09 12:16:55,1478.64,ethereum,178389016549.04282,29589670757.61747,-5.690277236075991
230,3,2025-04-09 12:16:55,0.99955,tether,143949657638.10117,84331536504.6738,-0.015298990587581834
231,4,2025-04-09 12:16:55,558.48,binancecoin,81468613594.63686,1060631213.085354,0.21117429788226239
232,9,2025-04-09 12:16:55,0.999936,usd-coin,60141298593.48072,18646469092.79694,-0.006428948182957139
233,1,2025-04-10 12:00:57,81928.0,bitcoin,1626120627710.1824,73549148666.30167,5.8202583698574895
234,2,2025-04-10 12:00:57,1601.01,ethereum,193148159481.74545,35051788197.4019,8.231299927193536
235,3,2025-04-10 12:00:58,0.999684,tether,144325447228.5823,103648161628.747,0.01194967377397271
236,4,2025-04-10 12:00:58,578.4,binancecoin,84381597878.29329,1088845473.9114852,3.5513126395624046
